#,年,月,期,标题,栏目,栏目e,行业,作者,内容
0,Y2021,M07,#481,“拜登新政”的影响、评价及其前景展望                  ,时评,Review,--,黄亚生 道格·克里斯蒂塞洛 刘小华 亚当·菲利普斯,"展望
◎黄亚生   道格·克里斯蒂塞洛   刘小华   亚
摘要：2021年1月20日，拜登就任美国第46
任总统。拜登上任之际，新冠肺炎疫情在全球蔓延
已近一年。与疫情前相比，世界政治、经济格局因
遭受疫情而发生了诸多重大变化，新一届美国政府
的应对措施因此备受关注。本文从新一届美国政府
上任后推出的主要措施出发，较为全面而又深入地
讨论了“拜登新政”的主要影响，并对其前景进行
了展望分析。
关键词：拜登新政；财政货币政策；中美关系
美国政府预算
中图分类号：F832           文献标识码：A
新冠肺炎疫情的暴发，加速暴露了美国社会存
在的诸多问题。2021年1月拜登入主白宫后，新一
届美国政府面临疫情肆虐、经济衰退、种族矛盾尖
锐等多方面的挑战。在民众的压力与期待下，拜登
政府上任不久便推出了多项有针对性的措施，主要
包括强化抗疫、基建计划、税改方案和中美关系的
处理等四个方面。
“拜登新政”反映出该任政府持何种执政理念
将如何影响美国及世界的未来？拜登积极财政措施 ..."
1,Y2021,M07,#481,碳减排与绿色信贷：基于国际经验的发展路径探讨                                                                   ,低碳转型与绿色投资专栏,Special Column,--,施懿宸 章容洲 杨晨辉,"碳减排与绿色信
的发展路径探讨
◎施懿宸  章容洲  杨晨辉
摘要：绿色信贷是支持实体经济实现碳减排、
碳达峰的重要措施，如何科学合理地发展绿色信贷
业务是当前银行业面临的重要挑战。本文在分析国
内商业银行绿色信贷业务发展掣肘因素的基础上，
参考并总结海外赤道银行绿色信贷发展模式的经
验，对我国银行业开拓、创新绿色信贷业务提出具
体建议。
关键词：绿色信贷；碳减排；国际经验；发展路径
中图分类号：F832           文献标识码：A
2020年9月，习近平总书记宣布“中国二氧
化碳排放力争2030年前达到峰值，努力争取2060
年前实现碳中和”，为我国未来绿色金融发展指明
了方向。在2021年1月的中国人民银行工作会议
以及3月初的两会期间，政府部门多次提及碳中和、
碳达峰等议题。绿色金融在推进碳减排发展进程中
具有重要意义。商业银行作为金融机构中连接宏
观政策和经济实体的重要枢纽，以绿色信贷等形
式引导产业结构绿色升级和经济社会可持续发展，
将逐步成为支持低碳绿色发展的重要工具。但是， ..."
2,Y2021,M07,#481,可持续投资：历史、现状与展望 ,低碳转型与绿色投资专栏,Special Column,--,王涵 卓泓 陈嘉媛 ,"◎王涵  卓泓  陈嘉媛
摘要：2020年9月，中国首次提出努力争取
2030年前碳达峰，2060年前碳中和，“碳中和、碳
达峰”也成为“十四五”规划污染防治的重要目标
在此背景下，与生态保护、低碳转型相关的领域将
面临巨大的融资需求和发展机会。本文梳理了全球
可持续发展投资的历史、现状和海外经验，以期对
中国可持续投资未来发展提供参考。
关键词：可持续投资；碳中和；海外经验 
中图分类号：F832           文献标识码：A
 
一、 可持续投资的定义和历史
（一）可持续投资的定义
可持续投资是一种考虑社会、环境和治理
（ESG）的投资理念和投资方式。全球可持续投资联
盟（GSIA）将可持续投资定义为一种在投资组合的
选择和管理中考虑环境、社会和治理（ESG）因素
的投资方法。广义的可持续投资包含了社会责任投
资（Social Responsible Investing，SRI）、ESG投资和
影响力投资（Impact Investing）等。
1.社会责任投资
社会责任投资是指除了考虑传统的财务指标
还以遵守法律、尊重人权、维护消费者权益和关注
环境保护等社会伦理性标准为依据，评价并选择企 ..."
3,Y2021,M07,#481,简评竞争对经济和发展的历史作用—— 从奥林匹克精神得到的启示 ,银行家论坛,Banker's Forum,--,徐辰,"Banker's Forum 
简评竞争对经济和
—— 从奥林匹克精神得到
◎徐辰
摘要：纵观世界经济发展史，竞争与合作始终
是人类文明进步的永恒主题。国家间的互动、经济
的发展、数次产业革命迭代乃至目前的绿色可持续
发展转型，均离不开竞争与合作。在当今科技日新
月异、生态环境与社会文明充满挑战的背景下，人
类应该秉承奥林匹克精神，鼓励企业乃至国家之间
遵循良性公平的竞争与合作，共同推动人类社会的
可持续发展。
关键词：公平竞争；奥林匹克精神；可持续发展
中图分类号：F831            文献标识码：A
早在近三千年前奥林匹克运动会在古希腊诞生
之际，人类就彰显出了通过竞争共同进步的思想意
识。奥运会原本是旨在通过切磋竞技、提高兵源素
质的军事体育训练，在各个城邦经过多年不断的竞
争与交流之后，逐渐演变为强调和平友谊、崇尚强
健体魄的运动会。
现代奥运会是以“恢复古代奥运会”为名义而
构建的一个当代社会文化现象，它沿用了“奥林匹
克运动会”的名称，吸收了公平竞争、奋勇拼搏、
身心调和发展的古代传统思想。奥林匹克精神的核 ..."
4,Y2021,M07,#481,关于美国供应链回流的若干问题 ,银行家论坛,Banker's Forum,--,葛奇 ,"Banker's Forum 
关于美国供应链
◎葛奇
摘要：本文在回顾供应链历史发展的基础上，
围绕近年来供应链回流的理论、美国供应链回流的
实践以及西方学者关于供应链结构重组的政策建议
等问题展开讨论。
关键词：供应链回流；去全球化；政策建议
中图分类号：F831         文献标识码：A
21世纪初，供应链的全球化促使全球贸易格局
由商品贸易向增加值贸易转变，2008年全球金融危
机和2020年新冠肺炎疫情使全球化有所逆转，部
分人士提出增强供应链弹性或供应链回流的观点。
关于供应链回流，西方有三大理论，包括交易
成本经济学、基于资源的观点以及所有权、区位和
内部化优势模型。研究发现，促使和阻碍供应链回
流的因素是多方面的，既有全球竞争环境的变化，
也包含东道国、本国以及企业自身的因素。目前，
用来反映美国供应链回流的指标如“制造业进口比
率”和“回流指数”是基于商品贸易而非中间产品
贸易的衡量方法，实际上高估了美国离岸企业回流
的程度。
此外，本文还分析了供应链回流和增强供应链
弹性之间的关系，指出企业关于供应链重新定位的
决策并非用以确认供应链的脆弱性是否与离岸生产 ..."
5,Y2021,M07,#481,银行业“商行+投行”模式的现状、经验与建议                                                                            ,银行业经营管理,Banking Management,--,王剑 贺晨 陈俊良,"经验与建议
◎王剑   贺晨   陈俊良 
摘要：“商行+投行”又称商投联动，其本质
是商业银行突破传统存贷汇业务，进行综合化转型
的过程，也是经济转型升级到一定阶段后银行业发
展的必由之路。国际经验表明，“商行+投行”的
综合性经营模式能够在一定程度上拓展银行盈利来
源、扩大市场份额，并可提升本国银行业的国际竞
争力。近年来，在产业结构升级、“金融脱媒”、客
户融资需求多样化的背景下，我国多家商业银行相
继提出向“商行+投行”转型的策略。整体来看
短期内我国银行“商行+投行”开展形式可主要分
为投贷联动、大资本市场和传统投行业务三类，对
我国银行利润的直接影响相对有限，更多体现为间
接影响。但从长期看，广义的商投联动正在我国逐
步发展，“以顾促融”全面获取商业银行投行服务
收益、实现综合化经营的时代正在到来。
关键词：商投联动；综合化经营；经济转型
中图分类号：F833.3            文献标识号：A
一、走近“商行 + 投行”
从定义来看，“商行”是指银行从事的传统存
贷汇业务，主要是赚取息差收入，银行需要承担资 ..."
6,Y2021,M07,#481,从“拜登新政”看凯恩斯主义的回归 ,宏观经济与市场,Macro Economy & Market,--,陈丰 武岩,"从“拜登新政”看
◎陈丰   武岩 
摘要：本文试图从凯恩斯主义视角分析当前美国
经济主要问题，指出由于就业率粘性回归、贫富差
距过大以及居民债务高企等原因，长期来看美国有
效需求仍不足。同时，通过比较次贷危机和此次疫
情中财政政策和货币政策的不同搭配，提出当前“拜
登新政”下财政刺激达到二战以来新高，远超次贷
危机后水平，凯恩斯主义逐渐回归，刺激通胀快速
增长，经济不断复苏；但在当前金融市场过度脱离实
体经济、市场对量化宽松越来越依赖和退出恐慌情
绪日渐浓厚的情况下，货币政策退出仍面临两难。
关键词：凯恩斯主义；有效需求；“拜登新政”
中图分类号：F831            文献标识码：A
2007年次贷危机后，虽然美国量化宽松货币
政策不断加码，但美国经济仍经历了20世纪70年
代以来最长的停滞和衰退。在此期间，美国开始对
新自由主义主流思想进行反思。Pally（2012）提出
新自由主义推崇的三种政策都带来了美国经济的衰
退。一是全球化政策促使美国工人与中国等发展中
国家廉价劳动力过度竞争，收入大幅下降；二是小
政府政策促使政府对居民福利支持日趋减少；三是
过分倚重以管理通胀为核心的货币政策难以解决劳
动力市场长期失衡问题。危机后近十年，美国政策
进行了一系列调整，例如，Epstein（2011）指出 ..."
7,Y2021,M07,#481,警惕美国货币政策转向的外溢效应 ,宏观经济与市场,Macro Economy & Market,--,邹子昂 赵雪情,"警惕美国货币政
◎邹子昂   赵雪情
摘要：近几个月来，美国经济复苏，通胀加速
抬升，美联储逆回购工具用量不断刷新历史纪录
货币政策提前转向预期不断升温，对全球以及我国
带来较大的外溢效应。本文结合美联储货币政策框
架目标，对本轮美联储货币政策转向路径进行研判
探讨其对全球金融市场的外溢效应，以及我国防范
风险的应对之策。
关键词：货币政策转向；Taper；外溢效应
中图分类号：F831            文献标识码：A
新冠肺炎疫情暴发以来，美国推行力度空前的
宽松货币政策，全球利率水平降至历史低位，美元
流动性从严重短缺转向极度充裕，金融资产价格屡
创新高。近期，随着美国经济复苏，通胀加速抬升
美联储逆回购工具用量不断刷新历史纪录，货币政
策提前转向预期不断升温，将对全球以及我国带来
较大的外溢效应。
一、美国本轮宽松货币政策周期进入
下半场
根据美联储货币政策框架，就业和通胀是量化 ..."
8,Y2021,M07,#481,警惕美国货币政策转向的外溢效应,宏观经济与市场,Macro Economy & Market,--,邹子昂 赵雪情,"警惕美国货币政
◎邹子昂   赵雪情
摘要：近几个月来，美国经济复苏，通胀加速
抬升，美联储逆回购工具用量不断刷新历史纪录
货币政策提前转向预期不断升温，对全球以及我国
带来较大的外溢效应。本文结合美联储货币政策框
架目标，对本轮美联储货币政策转向路径进行研判
探讨其对全球金融市场的外溢效应，以及我国防范
风险的应对之策。
关键词：货币政策转向；Taper；外溢效应
中图分类号：F831            文献标识码：A
新冠肺炎疫情暴发以来，美国推行力度空前的
宽松货币政策，全球利率水平降至历史低位，美元
流动性从严重短缺转向极度充裕，金融资产价格屡
创新高。近期，随着美国经济复苏，通胀加速抬升
美联储逆回购工具用量不断刷新历史纪录，货币政
策提前转向预期不断升温，将对全球以及我国带来
较大的外溢效应。
一、美国本轮宽松货币政策周期进入
下半场
根据美联储货币政策框架，就业和通胀是量化 ..."
9,Y2021,M07,#481,再论清末货币制度大讨论的理论意义与现实影响—— 国际货币体系演化视角下的分析 ,宏观经济与市场,Macro Economy & Market,--,禹钟华,"再论清末货币制
与现实影响
—— 国际货币体系演化
◎禹钟华
摘要：百余年前“清末币制大讨论”这一历史
事件的真实背景是历时两百多年的白银大量流入中
国之后，以英国为首的西方列强于19世纪开始实
行金本位制。这导致了全球长期而持续的白银贬值
直接造成中国社会财富的大幅缩水，也成为西方攫
取中国财富的一个重要且隐蔽的手段。而当时的官
员、学者们纠结于金、银本位制度的讨论本身并无
实质意义，半殖民地的中国并没有选择的余地而只
能接受西方列强的安排。且金属本位制度是源于西
方土壤之上的货币体制，中国以政府为主导的金融
体制下的典型货币形态应该是政府信用货币。也正
是新中国以纸币制度的建立解决了这一历史难题
带来了中国的金融领域“解放”。
关键词：清末币制大讨论；金汇兑本位制；纸币
制度
中图分类号：F832            文献标识码：A
对于“清末币制大讨论”的分析已经是学术界
的老生常谈，但如果以“国际货币体系”演化这一 ..."
